tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1,user_0280,True,Mon Jan 01 09:00:00  2024,"Hey @AskPlayStation I cant login to my account, keeps saying wrong password even after reset 😤 (ref 246316)",2,
2,AskPlayStation,False,Mon Jan 01 09:40:00  2024,"Hi there, sorry for the trouble logging in. Please try resetting your password from account.sonyentertainmentnetwork.com and check spam for the reset email. Let us know how it goes.",,1
3,user_0215,True,Mon Jan 01 09:08:00  2024,"@AskPlayStation game freezes every time I try to save progress in Elden Ring, lost 3 hours of progress",4,
4,AskPlayStation,False,Mon Jan 01 09:39:00  2024,"That's really frustrating, sorry. Please make sure your system software and Elden Ring are both fully updated, then try saving to a different storage location as a test.",,3
5,user_0053,True,Mon Jan 01 09:14:00  2024,"@AskPlayStation bought EA FC 24 on the store, paid, but it's not showing in my library",6,
6,AskPlayStation,False,Mon Jan 01 09:41:00  2024,"Sorry about that! Please try restarting the console and checking Library > Purchased. If it's still missing, DM your order confirmation email.",,5
7,user_0283,True,Mon Jan 01 09:23:00  2024,@AskPlayStation getting error NW-31456-4 every time I try to launch anything online,8,
8,AskPlayStation,False,Mon Jan 01 10:06:00  2024,NW-31456-4 usually points to a network/DNS issue. Please try setting DNS to 8.8.8.8 in network settings and test the connection again.,,7
9,user_0041,True,Mon Jan 01 09:29:00  2024,"@AskPlayStation multiplayer keeps disconnecting every 5 mins in Horizon Forbidden West, tested on 2 different networks",10,
10,AskPlayStation,False,Mon Jan 01 09:38:00  2024,"Sorry about the disconnects. Please try a wired connection if possible and check that UPnP is enabled on your router, or set up port forwarding.",,9
11,user_0344,True,Mon Jan 01 09:37:00  2024,@AskPlayStation console makes a weird clicking noise on startup every time now,12,
12,AskPlayStation,False,Mon Jan 01 10:21:00  2024,That clicking on startup usually needs a closer look from our repair team — please start a repair request with your console's serial number.,,11
13,user_0344,True,Mon Jan 01 11:34:00  2024,any update? been waiting a while now,,12
14,user_0113,True,Mon Jan 01 09:47:00  2024,@AskPlayStation quick q — how do I set up parental controls for my kid's profile?,15,
15,AskPlayStation,False,Mon Jan 01 10:10:00  2024,"Sure! Go to Settings > Family and Parental Controls > select the child's account, then adjust playtime, spending and content restrictions there.",,14
16,user_0109,True,Mon Jan 01 09:53:00  2024,"@AskPlayStation absolutely furious, been a customer for 10 years and getting ignored on a $14.99 refund",17,
17,AskPlayStation,False,Mon Jan 01 10:16:00  2024,That's not the experience we want for you — please DM your order ID so we can personally follow up on the refund status today.,,16
18,user_0109,True,Mon Jan 01 11:11:00  2024,"this didn't help, same issue is happening",,17
19,user_0383,True,Mon Jan 01 10:00:00  2024,"@AskPlayStation my email got changed on my account without me doing it, locked out of everything including EA FC 24",20,
20,AskPlayStation,False,Mon Jan 01 10:30:00  2024,That sounds like account compromise — please DM us right away so we can begin recovery and lock down the account.,,19
21,user_0057,True,Mon Jan 01 10:04:00  2024,@AskPlayStation can I get a refund for EA FC 24? bought it by accident and haven't played it,22,
22,AskPlayStation,False,Mon Jan 01 10:47:00  2024,You're welcome to request a refund within 14 days of purchase if the content hasn't been substantially downloaded/streamed. Please submit a request at playstation.com/refund.,,21
23,user_0006,True,Mon Jan 01 10:15:00  2024,"@AskPlayStation bought Fortnite on the store, paid, but it's not showing in my library",24,
24,AskPlayStation,False,Mon Jan 01 10:25:00  2024,"Sorry about that! Please try restarting the console and checking Library > Purchased. If it's still missing, DM your order confirmation email.",,23
25,user_0233,True,Mon Jan 01 10:17:00  2024,@AskPlayStation getting error NW-31456-4 every time I try to launch anything online,26,
26,AskPlayStation,False,Mon Jan 01 10:36:00  2024,NW-31456-4 usually points to a network/DNS issue. Please try setting DNS to 8.8.8.8 in network settings and test the connection again.,,25
27,user_0277,True,Mon Jan 01 10:28:00  2024,"@AskPlayStation PSN has been down for me for 2 hours, can't sign in at all",28,
28,AskPlayStation,False,Mon Jan 01 10:31:00  2024,We're aware of intermittent sign-in issues and our team is investigating. Please check status.playstation.com for live updates.,,27
29,user_0291,True,Mon Jan 01 10:31:00  2024,@AskPlayStation my PS4 controller drifts so bad I can't aim in any shooter anymore,30,
30,AskPlayStation,False,Mon Jan 01 10:39:00  2024,Sorry about the drift — if it's within warranty please start a repair request at playstation.com/repair. We can also DM troubleshooting steps to try first.,,29
31,user_0311,True,Mon Jan 01 10:41:00  2024,@AskPlayStation quick q — how do I set up parental controls for my kid's profile?,32,
32,AskPlayStation,False,Mon Jan 01 10:57:00  2024,"Sure! Go to Settings > Family and Parental Controls > select the child's account, then adjust playtime, spending and content restrictions there.",,31
33,user_0225,True,Mon Jan 01 10:49:00  2024,"@AskPlayStation genuinely considering switching to Xbox after how this has been handled, so disappointed",34,
34,AskPlayStation,False,Mon Jan 01 11:20:00  2024,We're sorry to hear that and don't want to lose you as a customer. Please DM your account details so we can properly investigate what's gone wrong.,,33
35,user_0225,True,Mon Jan 01 11:33:00  2024,any update? been waiting a while now,,34
36,user_0143,True,Mon Jan 01 10:57:00  2024,"@AskPlayStation someone hacked my acount and changed the email, pls help urgently, was mid-game in Call of Duty MW3",37,
37,AskPlayStation,False,Mon Jan 01 11:31:00  2024,"If your account was compromised, please DM us immediately so we can secure it and start the recovery process. Do not share your password with us or anyone else.",,36
38,user_0143,True,Mon Jan 01 13:08:00  2024,any update? been waiting a while now,,37
39,user_0098,True,Mon Jan 01 10:59:00  2024,"@AskPlayStation subscription renewed even though I cancelled last month, charged $4.99",40,
40,AskPlayStation,False,Mon Jan 01 11:08:00  2024,Sorry about that — please DM your account email so we can check the cancellation timestamp against the renewal charge and correct it if needed.,,39
41,user_0056,True,Mon Jan 01 11:07:00  2024,@AskPlayStation money left my account for NBA 2K24 but download never started,42,
42,AskPlayStation,False,Mon Jan 01 11:22:00  2024,Sorry for the trouble — please DM a screenshot of the transaction and your order ID so we can check the download status on our end.,,41
43,user_0056,True,Mon Jan 01 11:44:00  2024,"this didn't help, same issue is happening",,42
44,user_0051,True,Mon Jan 01 11:13:00  2024,@AskPlayStation getting error NW-31456-4 every time I try to launch anything online,45,
45,AskPlayStation,False,Mon Jan 01 11:57:00  2024,NW-31456-4 usually points to a network/DNS issue. Please try setting DNS to 8.8.8.8 in network settings and test the connection again.,,44
46,user_0110,True,Mon Jan 01 11:23:00  2024,"@AskPlayStation PSN has been down for me for 2 hours, can't sign in at all",47,
47,AskPlayStation,False,Mon Jan 01 11:29:00  2024,We're aware of intermittent sign-in issues and our team is investigating. Please check status.playstation.com for live updates.,,46
48,user_0110,True,Mon Jan 01 12:10:00  2024,"still not working, can you please just fix this",,47
49,user_0112,True,Mon Jan 01 11:27:00  2024,"@AskPlayStation controller won't charge anymore, tried 2 different cables, light doesn't even come on",50,
50,AskPlayStation,False,Mon Jan 01 12:07:00  2024,"Sorry about the charging issue — please try a different USB port and cable to rule those out. If the light never comes on, this likely needs a repair request.",,49
51,user_0042,True,Mon Jan 01 11:35:00  2024,@AskPlayStation my PS4 Pro controller drifts so bad I can't aim in any shooter anymore,52,
52,AskPlayStation,False,Mon Jan 01 11:42:00  2024,Sorry about the drift — if it's within warranty please start a repair request at playstation.com/repair. We can also DM troubleshooting steps to try first.,,51
53,user_0318,True,Mon Jan 01 11:41:00  2024,"@AskPlayStation absolutely furious, been a customer for 10 years and getting ignored on a $39.99 refund",54,
54,AskPlayStation,False,Mon Jan 01 12:10:00  2024,That's not the experience we want for you — please DM your order ID so we can personally follow up on the refund status today.,,53
55,user_0203,True,Mon Jan 01 11:49:00  2024,"@AskPlayStation keeps logging me out of PS5 Digital Edition every few minutes, so annoying",56,
56,AskPlayStation,False,Mon Jan 01 12:34:00  2024,Sorry about that — frequent sign-outs can happen after a system update. Please try a fresh sign-in on PS5 Digital Edition and let us know if it keeps happening.,,55
57,user_0110,True,Mon Jan 01 11:59:00  2024,"@AskPlayStation I got charged twice for Spider-Man 2, $19.99 extra on my card. Need this fixed asap",58,
58,AskPlayStation,False,Mon Jan 01 12:18:00  2024,Sorry to hear about the duplicate charge. Please DM us your order ID and the last 4 digits of the card used so we can investigate the double billing.,,57
59,user_0110,True,Mon Jan 01 14:15:00  2024,"ok I DMed you, no response yet though",,58
60,user_0340,True,Mon Jan 01 12:02:00  2024,@AskPlayStation downloaded EA FC 24 but half the DLC content I paid for is missing,61,
61,AskPlayStation,False,Mon Jan 01 12:13:00  2024,Please DM your order ID for the DLC purchase so we can verify what was included and re-trigger the entitlement if something's missing.,,60
62,user_0340,True,Mon Jan 01 13:35:00  2024,"still not working, can you please just fix this",,61
63,user_0048,True,Mon Jan 01 12:14:00  2024,@AskPlayStation getting error NW-31456-4 every time I try to launch anything online,64,
64,AskPlayStation,False,Mon Jan 01 12:44:00  2024,NW-31456-4 usually points to a network/DNS issue. Please try setting DNS to 8.8.8.8 in network settings and test the connection again.,,63
65,user_0283,True,Mon Jan 01 12:21:00  2024,@AskPlayStation console makes a weird clicking noise on startup every time now,66,
66,AskPlayStation,False,Mon Jan 01 12:51:00  2024,That clicking on startup usually needs a closer look from our repair team — please start a repair request with your console's serial number.,,65
67,user_0184,True,Mon Jan 01 12:24:00  2024,"@AskPlayStation bought God of War Ragnarok on teh store, paid, but it's not showing in my library",68,
68,AskPlayStation,False,Mon Jan 01 12:42:00  2024,"Sorry about that! Please try restarting the console and checking Library > Purchased. If it's still missing, DM your order confirmation email.",,67
69,user_0013,True,Mon Jan 01 12:31:00  2024,@AskPlayStation how much storage does the EA FC 24 install actually take up,70,
70,AskPlayStation,False,Mon Jan 01 12:55:00  2024,"Install size can vary with updates, but you can always check the exact current size under Library before downloading EA FC 24.",,69
71,user_0196,True,Mon Jan 01 12:37:00  2024,"@AskPlayStation genuinely considering switching to Xbox after how this has been handled, so disappointed",72,
72,AskPlayStation,False,Mon Jan 01 13:10:00  2024,We're sorry to hear that and don't want to lose you as a customer. Please DM your account details so we can properly investigate what's gone wrong.,,71
73,user_0196,True,Mon Jan 01 13:59:00  2024,"this didn't help, same issue is happening",,72
74,user_0261,True,Mon Jan 01 12:47:00  2024,"@AskPlayStation someone hacked my acount and changed the email, plz help urgently, was mid-game in Call of Duty MW3",75,
75,AskPlayStation,False,Mon Jan 01 13:24:00  2024,"If your account was compromised, please DM us immediately so we can secure it and start the recovery process. Do not share your password with us or anyone else.",,74
76,user_0177,True,Mon Jan 01 12:56:00  2024,"@AskPlayStation multiplayer keeps disconnecting every 5 mins in Gran Turismo 7, tested on 2 different networks",77,
77,AskPlayStation,False,Mon Jan 01 13:19:00  2024,"Sorry about the disconnects. Please try a wired connection if possible and check that UPnP is enabled on your router, or set up port forwarding.",,76
78,user_0187,True,Mon Jan 01 13:01:00  2024,"@AskPlayStation bought Fortnite on teh store, paid, but it's not showing in my library",79,
79,AskPlayStation,False,Mon Jan 01 13:08:00  2024,"Sorry about that! Please try restarting the console and checking Library > Purchased. If it's still missing, DM your order confirmation email.",,78
80,user_0168,True,Mon Jan 01 13:08:00  2024,@AskPlayStation getting error NW-31456-4 every time I try to launch anything online,81,
81,AskPlayStation,False,Mon Jan 01 13:29:00  2024,NW-31456-4 usually points to a network/DNS issue. Please try setting DNS to 8.8.8.8 in network settings and test the connection again.,,80
82,user_0156,True,Mon Jan 01 13:14:00  2024,@AskPlayStation NAT type shows strict and I can't join any EA FC 24 lobbies,83,
83,AskPlayStation,False,Mon Jan 01 13:30:00  2024,"A Strict NAT type is usually a router setting — please enable UPnP or manually forward the required PS5 ports, listed on our support site.",,82
84,user_0262,True,Mon Jan 01 13:22:00  2024,"@AskPlayStation controller won't charge anymore, tried 2 different cables, light doesn't even come on",85,
85,AskPlayStation,False,Mon Jan 01 13:35:00  2024,"Sorry about the charging issue — please try a different USB port and cable to rule those out. If the light never comes on, this likely needs a repair request.",,84
86,user_0076,True,Mon Jan 01 13:26:00  2024,@AskPlayStation is Horizon Forbidden West cross-platform with Xbox?,87,
87,AskPlayStation,False,Mon Jan 01 13:31:00  2024,"Great question — cross-play support varies by title, please check the game's store page under 'Online Features' for the latest info on Horizon Forbidden West.",,86
88,user_0197,True,Mon Jan 01 13:36:00  2024,"@AskPlayStation you people never actually fix anything, just close tickets and move on, unreal",89,
