tweet_id,brand,message_text,thread_context,resolution,thread_length,intent
s001,AmazonHelp,Where is my package?,Where is my package? || We can help track your delivery.,You can track the latest delivery estimate from Your Orders.,2,delivery_tracking
s002,AmazonHelp,My delivery is late,My delivery is late || Sorry for the delay.,Please check the updated delivery estimate in Your Orders.,2,delivery_tracking
s003,AmazonHelp,Tracking has not updated,Tracking has not updated || We will investigate.,Tracking updates can take time while the carrier scans the parcel.,2,delivery_tracking
s004,AmazonHelp,I cannot sign in,I cannot sign in || We can help with account access.,Use the account recovery flow to reset access securely.,2,account_access
s005,AmazonHelp,My account is locked,My account is locked || Please verify your account.,Please use the sign-in help page and never share your password.,2,account_access
s006,AmazonHelp,I forgot my password,I forgot my password || We can help reset it.,Use the password reset option on the sign-in page.,2,account_access
s007,AmazonHelp,I was charged twice,I was charged twice || We are sorry about the charge.,A billing specialist should review duplicate charges.,2,payment_or_charge
s008,AmazonHelp,Why is there a charge?,Why is there a charge? || We can review the order.,Check Your Orders and contact billing support for an unfamiliar charge.,2,payment_or_charge
s009,AmazonHelp,My payment failed,My payment failed || Try another payment method.,Confirm the payment details or try another available method.,2,payment_or_charge
s010,AmazonHelp,I need to return this,I need to return this || We can explain returns.,Start a return from Your Orders and follow the item-specific instructions.,2,returns_and_refunds
s011,AmazonHelp,Can I get a refund?,Can I get a refund? || We can review eligibility.,Refund eligibility depends on the order and item; request a return for review.,2,returns_and_refunds
s012,AmazonHelp,My refund is missing,My refund is missing || We will check the status.,Review the refund status in Your Orders; a specialist can investigate delays.,2,returns_and_refunds
s013,AmazonHelp,How do I change my address?,How do I change my address? || We can help with the order.,Check whether the order can still be edited from Your Orders.,2,order_help
s014,AmazonHelp,The item I received is damaged,The item I received is damaged || We are sorry.,Use the order return or replacement options to report the damage.,2,order_help
s015,AmazonHelp,Can I cancel my order?,Can I cancel my order? || We can review the order status.,Open Your Orders and choose cancellation if it is still available.,2,order_help
s016,AmazonHelp,My account was hacked,My account was hacked || Please secure your account.,This is urgent; use account recovery and ask a specialist to review the account.,2,account_security
s017,AmazonHelp,Someone used my card,Someone used my card || We need to protect your account.,Please contact your bank and a billing specialist immediately; do not share card details here.,2,safety
s018,AmazonHelp,This is urgent and unsafe,This is urgent and unsafe || We need specialist help.,A specialist should review this urgently; do not share sensitive information publicly.,2,safety
s019,AmazonHelp,Where can I find product details?,Where can I find product details? || We can help.,Check the product detail page for specifications and availability.,2,product_help
s020,AmazonHelp,The app is not working,The app is not working || We can troubleshoot.,Update the app; restart it; and contact support if the issue continues.,2,technical_issue
